X,y,Z
-12363,3361,13283
-11019,-5198,8128
-10381,-4500,9623
-12109,1392,11812
-15639,3057,15542
-8056,10200,7769
-11974,-9049,11339
-14358,-7728,14494
-12801,-8969,10020
-9667,6134 9,478
-11857,3359,12179
-14499, 126 1,4785
-11061,-9173,10446
-9411,-356 9,802
-15155,-3109,15524
-10457,12161,8872
-10000,-4480,8215
-11493,-8650,14399
-14103,-7283,13376
-11907,-998,10517
-9473,10951,7737
-12220,2955,13830
-12462,5709,9991
-10477,-1211,2 8774
-13181,4863,12281
-11636, 992 1,3551
-13031,5736,11240
-10758,-3533,13025
-12983,-5855,14756
-12136,-3776,13286
-11009,7812,11311
-11911,1422,10387
-10052,8308,11267
-15413,-1235,3 14703
-8297,-259 8,751
-14628,-1118,0 15299
-9913,13063,9264
-11363,-996,11646
-12593,6963,11685
-10413,-1144,0 8697
-14599,-8346,14758
-10630,9452,10362
-12162,-2711,14084
-12340,1806,12572
-12430,-1531,8 13905
-13539,3601,12816
-10059,-2393,8618
-9812,15267,9162
-13534,-3174,11941
-9547,519 95,5
-10673,-1186,4 7385
-10155,-3668,12094
-16250,9818,18531
-9888,1835 7,5
-11458, 435 9,606
-14193, 210 1,2668
-13897,-1103,9 16454
-11771,12971,9109
-8164,-3892,8130
-15627,10076,16164
-14263,-1452,0 14212
-7921,-677 7,681
-13420,-4578,13448
-14231,-3522,18573
-12169,12310,10949
-8929,-11243,11661
-12001,4478,12193
-14323,-1873,1 17024
-8118,21877,5406
-9512,-9258,9818
-12337,9048,14462
-15636,-1825,2 11533
-8396,4191 9,812
-12796,-2903,14132
-14050,11210,17717
-12863, 758 1,805
-9818,-332 7,993
-13760,-2752,12891
-13384, 231 1,1711
-11042,7711,8342
-8958,6594 9,580
-14112,-4013,15916
-12634,-6146,11143
-11247, 928 8,297
-12659,8589,12058
-11920,4358,14202
-12817,7874,9885
-8406,-7248,8921
-13792,-3936,13856
-11265,3250,10219
-11179,7855,9674
-11429,1569,11185
-13134,-3124,13706
-13756,-2940,10458
-8866,-1237,7173
-13254,10566,11151
-12316,2905,11909
-11424,3269,11790
-12134,-1295,6 9691
-12022,-4795,11430
-14264,11796,9450
-7951,1847 7,906
-11952,2891,10626
-14623,-1547,3 13223
-10522, 349 9,772
-13142,-5796,12841
-10528,12924,10490
-15347,-1279,4 12098
-11035,-6443,10449
-10109,-4916,8445
-13712,2961,13147
-8977,10721,7542
-10803,-7447,9578
-9815,2914 9,788
-14859,-1664,2 13503
-11926,5221,11506
-10548,6138,8485
-11225,9649,11437
-11899,-1682,12263
-13671,-1157,7 13169
-9980,-1578,8668
-11519, 477 1,569
-12499,9916,11281
-9529,-1797,8499
-13894,-6668,11018
-9534,-3814,10705
-13970,-6023,14272
