X,y,Z
-14745,-4053,13781
-12240,9038,12792
-10632,3307,10128
-10931,1836,8409
-12715,-6580,14050
-14557,-3994,14804
-9525,-593 7,953
-9996,7217 1,2555
-13634,4476,15419
-11507,-5223,11126
-11085,-4712,9570
-10651,-1327,10032
-15041,-4728,13853
-9512,11721,6102
-9700,-5988,9531
-14740,3557,16021
-11324,-2514,11644
-11298,-4632,10410
-9289,6909 8,746
-15304,-4687,15139
-10973,4440,8520
-7662,-3411,7174
-13707,7268,14573
-12226,-6454,15220
-10086,3458,5974
-9995,-5447,9828
-13831,3547,12923
-15887,-950,13265
-7013,6317 6,534
-14765,6670,14873
-11803,-2749,13676
-12395,-2582,9344
-10357,-5094,10827
-13056,6200,13218
-13724,2405,12738
-9994,1951 1,451
-12312,-5080,12173
-12556,-4323,14015
-13346,-3481,12689
-10379,7117,11501
-11731,-1570,15217
-14457,6913,13183
-9490,-7257,8186
-10912,4245,9637
-12017,-3241,10226
-10147,5029,8836
-12175,-4891,11804
-9744,5107 9,534
-13976,-6395,15608
-11605,9549,10215
-12012,-7271,12989
-13670,1094,12652
-10438,-6073,10510
-12950, 897 1,3522
-11763,1554,13264
-10947,1405,12188
-12008,-4924,10241
-11779,-6156,12342
-12045, 166 1,1015
-9324,3167 9,731
-13973,5419,13864
-10683,-1941,11849
-12228,-5716,11673
-12793,-2561,11327
-12687,-1281,13780
-12493,8237,9819
-9095,1462 9,118
-13924,-302,13162
-12668,-5621,14026
-10390,1981,9200
-12729,-466,13497
-12415,3958,13534
-13137,-2027,11493
-10247,-7567,12783
-11691,7594,9434
-13901,-5462,14813
-9916,15096,7391
-12167,-7314,11509
-10332,-3469,9281
-15480,-7988,13842
-8267,-3217,8718
-13101,10030,12883
-12419,2730,13876
-12737,-6312,14023
-12295,-4583,10528
-12824,-3732,13244
-13291,6040,11228
-11153,8845,9966
-8653,7814 9,545
-14659,-7628,15550
-10315,-5787,10618
-11799, 383 1,1134
-10731,7195,9748
-12375,2426,13926
-13345,-541,11133
-10022,-8352,10914
-13017,4294,13939
-10865,2737,12060
-11802, 933 9,889
-12082,-775,11564
-12844,-1152,2 11618
-12695,10286,11723
-10256,-2838,7803
-10877,18819,10503
-12519,-1225,8 10852
-10165,-2844,10588
-13376,-6466,10566
-10533, 65 13,665
-15131,5269,14459
-9730,818 90,44
-14099,-9535,14693
-13312,-1479,14367
-11073,-6587,12148
-11831,16387,11061
-10313,-1147,11435
-12510,2631,9851
-11699,-1568,6 9799
-10760,2750,11906
-13885,-7787,14774
-10675,9808,12280
-13699,-2182,14371
-11014,-4086,13363
-14110,-7513,13452
-10914,-1659,8812
-10650,4010,11804
-12237,3843,12383
-9236,-3109,9335
-13379,-7979,11330
-9505,-4719,10102
-13073,-2120,10231
-11406,13516,8359
-10884,5803,10974
-14501,2700,12738
-9400,-5230,9305
-13234,2660,10904
-10841,-4618,11118
-12818,10166,9801
-13097, 765 9,216
-10166,7309,10106
-15511,3367,12608
-8221,6530 7,269
-12593,2072,11752
-12395,-264,13459
-11862,1229,9240
-12919,-3145,11405
-11224,9979,13106
-14218,-2038,14007
-10995,-719,10452
-12322,-2832,12216
-12743,-5060,11589
-10733,9601,9811
-13150,3905,12421
-8159,4165 1,318
-14558,-6016,13120
-10718,-6832,10979
-10279,1833,9846
-12795,9911,11560
-9107,4325 8,857
-13002,2129,12707
-12263,-9268,11780
-11840,-4304,11180
-12827,-2512,10064
-9229,6888 1,345
-15015,1491,12714
-9038,-235 8,735
-12956,-5252,14493
-12162,-119,13633
-11877,-3062,13433
-12341,-469,11719
-9588,623 12,95
-16234,-4086,16021
-8184,1245 8,608
-11062,-1977,10981
-12161,2486,13163
-11382,-3712,11207
-12233,-890,8955
-8230,1832 8,594
-15186,5380,13339
-10029,-4475,8144
-9370,2624 6,926
-14183,-3121,15030
-12315, 447 1,3377
-12630,-1661,11456
-9246,5227 9,441
-15047,-3948,13562
-12920,-986,11275
-8358,2508 6,75
-13735,-984,15068
-12122, 150 1,4303
-13913,-5272,9880
-9173,-285 7,174
-14441,-736,14730
-14043,1781,13519
-9408,-1413,11118
-13209,3856,14389
-11984,-1199,0 14618
-13197,4065,11672
-10235,1750,8652
-11149,6936,11894
-12882,-481,11562
-7679,-2360,7713
-14700,-2722,14363
-11569,-269,11886
-11859,4523,11424
-12679,-1237,13818
-14338,-3559,17577
-14969,-9206,12090
-8717,-1522,10081
-13824,4672,14042
-12506,-2169,14877
-9976,-463 9,22
-9846,-2659,9655
-14156,-1507,4 17666
-13119,9864,11218
-8126,-3790,5609
-12101,13995,13071
