X,y,Z
-2707,953,3243
-3833,1977,2985
-1957,-290,1796
-2987,903,2092
-3138,-210,2 2766
-2378,4789,2168
-3337,-145,7 3056
-1931,522,2224
-4236,-337,6 4031
-3117,1098,2600
-2397,1853,2275
-3424,728,3102
-2767,-586,3690
-3691,-126,9 3032
-1736,466,1665
-3025,2578,2709
-3186,1681,2708
-2037,-607,1674
-3661,-101,7 2903
-1915,-279,2577
-3997,1183,3659
-2299,911,2288
-2405,-532,2473
-4182,-916,3861
-2288,-849,1988
-3206,1188,2364
-2500,1174,2357
-3071,-214,3 3764
-3803,-147,2611
-1876,-201,8 2385
-3457,3305,3576
-3018,-107,3238
-2998,-363,2698
-2736,-204,6 3008
-2867,-329,3341
-3919,2080,3401
-1990,427,1814
-2940,-510,2662
-3720,-107,5 3747
-2720,-823,2796
-2985,1228,2129
-1985,995,1998
-4108,1026,4296
-2770,-236,5 2880
-1876,-327,1479
-3498,1170,3026
-2324,1028,3001
-4027,-193,4 3475
-1785,-105,9 1752
-3518,-693,3628
-3722,1332,4038
-2050,-55,2401
-3359,-337,3096
-2621,-134,6 2940
-3801,-244,3193
-2655,700,2305
-1709,2670,2756
-3966,-101,2 4176
-2144,-741,2017
-3346,-186,3 3122
-2304,3066,2541
-3580,1024,3745
-3248,-101,5 2289
-1753,-659,2372
-4009,795,4097
-2244,713,2839
-2593,488,2164
-2995,-583,3098
-2785,-148,5 3527
-3851,-156,3 3357
-1586,1880,1617
-3032,990,3443
-3541,-200,8 4405
-2619,-260,1 2175
-2950,-18,2738
-2232,2534,2606
-3889,829,3620
-2143,-532,1653
-2448,-234,1 2424
-3486,-118,7 3709
-2884,2516,3664
-2717,1699,2543
-2399,95 2,108
-3845,-106,8 3958
-3479,-118,4 2843
-1913,1713,1493
-3257,851,2857
-2815,-148,9 3078
-3656,-226,6 3064
-2287,370,2135
-2674,954,3439
-3995,588,4177
-2524,-120,3 2633
-3224,-154,7 3075
-2643,-756,3157
-3025,1851,3136
-3149,3270,2527
-1864,-710,1862
-3682,-238,5 3404
-2830,814,2604
-3112,1504,2141
-2026,2177,2207
-3036,-555,3161
-3651,-211,0 3039
-2115,-106,7 2626
-3826,765,3973
-2341,2316,2094
-3189,93 3,688
-3517,-103,6 2698
-2453,-282,2 3065
-3986,3038,2811
-1676,1723,1815
-3344,3786,2607
-3740,-284,2 3390
-1723,133,1839
-3854,-102,3 3425
-1763,2583,2588
-4154,-193,9 4077
-2563,1667,2192
-2564,-251,0 2735
-3544,2949,3091
-2324,-904,2703
-3139,2339,2534
-2149,-204,5 1771
-3003,31 3,193
-3662,328,3319
-1879,1493,1633
-3599,405,2675
-2163,-153,2261
-4006,-493,3788
-2794,36 2,239
-1925,470,1514
-4105,1477,3833
-2509,1210,2531
-3062,-192,8 2517
-2974,178,2347
-2941,-186,2944
-3972,1935,3599
-1656,793,1202
-3022,-462,3016
-3394,-575,3068
-2588,-106,6 3072
-3516,476,2741
-2117,344,2451
-4202,-101,8 3701
-2492,-113,4 3159
-2448,-645,2548
-3670,676,3174
-2318,1632,2585
-3556,-386,3146
-1934,103,1932
-3624,-52,4006
-2530,-121,5 2229
-2144,351,2638
-3966,671,3619
-2159,549,2653
-3486,-292,2848
-2579,897,2273
-3003,979,3444
-3429,-871,2832
-1775,-507,2216
-4048,-749,3955
-2713,1033,3834
-2818,-348,2357
-2888,644,2110
-2451,-130,7 2973
-4016,-464,3476
-2071,128,2207
-2935,2594,2469
-2969,-981,4128
-3143,623,2969
-3326,-165,7 2267
-1683,1488,1817
-4597,133,4305
-2496,691,2484
-2473,592,2739
-3243,261,3448
-3108,242,3645
-3588,238,2630
-1550,-844,1715
-3459,2153,2621
-3651,-167,8 3510
-2066,1824,1829
-2801,-489,2951
-2961,720,3043
-3833,-155,0 4124
-2705,2690,1762
-2229,-726,2534
-3531,2267,3526
-3026,-346,8 3906
-2993,1240,2399
-2423,-177,3 2928
-3396,1796,3386
-3256,3 30,10
-1991,-944,2238
-3988,-177,6 3694
-2198,351,3057
-3233,1705,2966
-2463,-131,8 2591
-2589,-167,7 3190
-3682,338,3093
-1757,541,1321
-3011,1671,2181
-3231,-547,3152
-2641,-533,2636
-3205,-194,2839
-2073,887,3082
-3615,1142,3372
-2636,575,2043
-3059,-140,4 2306
-3043,1351,2680
-2759,-160,3187
-3471,1529,2812
-1830,-415,2725
-3450,-727,3130
-3224,288,2458
-2728,98 2,485
-3322,583,1926
-1864,980,1613
-4194,-532,4189
-2031,-101,9 1802
-2517,245,2471
-3659,1199,2623
-2456,-751,3071
-3741,-105,4 2953
-1865,-155,0 1872
-3615,135,3968
-3419,2685,3576
-1825,84 1,609
-3189,629,2386
-2843,-111,5 2694
-3072,-111,6 2140
-2097,2474,596
