X,y,Z
-4229,-1195,3792
-2955,2574,2390
-2395,887 2,452
-4346,1703,3800
-2286,-1362,2658
-4069,-776,3095
-2952,1722,2188
-2926,1098,2951
-4029,2462,3280
-2348,-1047,2562
-4165,441 3,448
-2893,-1650,3449
-3549,2611,2730
-3598,593 2,751
-2201,472 2,223
-4150,-205,3232
-2154,-788,2245
-3883,1791,2776
-2916,-909,2698
-2793,1264,1919
-4090,-537,3298
-2210,2694,2025
-3850,59 30,20
-2784,1028,2472
-3222,-2415,3201
-4299,745 3,295
-1796,1673,1681
-4605,2115,3817
-2036,1542,2009
-4195,-2455,3673
-3492,-42 2,704
-2679,-1216,2636
-3957,4282,2997
-2103,-1514,1193
-4110,-277,3671
-3268,-943,2906
-2991,-1674,3580
-3605,2529,3226
-2609,-1969,3643
-4088,1576,3508
-2444,-3688,2410
-3127,3769,2758
-3924,-406,3490
-2310,1370,2520
-4313,-2060,2977
-2060,-691,3061
-4483,1782,3675
-3405,895 2,968
-1867,3275,1698
-4551,-2097,3542
-2555,1045,2943
-4400,-478,3842
-1839,2190,1834
-3737,-465,4286
-4313,1408,3575
-2038,-1258,2437
-3215,2550,1489
-3081,83 28,93
-3796,2434,3181
-2727,-908,2215
-2628,-1438,3109
-4482,1397,3808
-2700,-229,3893
-3453,1907,2138
-3274,-2295,2992
-3705,2455,3397
-4138,-2109,3171
-1711,3050,1518
-4132,-1743,3176
-3095,929 3,527
-2813,-1078,2446
-3666,907 3,1
-2326,1804,2809
-4738,-1546,4197
-2226,727 2,540
-3209,-1730,3388
-3868,3164,3244
-1794,1077,1215
-3879,521 2,813
-2620,-2304,2815
-4686,-1507,3723
-2430,3900,1669
-3136,-309,3699
-4100,3169,4234
-2538,-2855,2634
-4188,520 3,126
-2766,88 28,77
-3500,2860,3067
-3549,2594,2059
-2208,-1997,2493
-4690,-658,3660
-2069,-421,1972
-3657,3279,2993
-3242,257 2,778
-3040,-857,3411
-4327,-130,3218
-1917,-1903,2699
-4308,3453,3992
-2679,-109,2469
-2768,-1017,2812
-4172,-1047,2988
-2277,382 1,974
-4574,2348,3500
-1760,883 1,830
-4144,-1587,4129
-3803,-2659,3356
-2163,1117,2256
-4514,2757,3447
-2202,1680,2253
-3817,-167,3052
-2705,-1872,2292
-3341,-376,3423
-3675,2529,2620
-1376,2216,1446
-4292,1164,3421
-3026,-1997,3132
-3232,664 2,73
-3291,2016,2172
-2422,2570,2212
-4587,-30 4,15
-2330,-783,2298
-3626,-884,2988
-3664,1764,3447
-2746,1549,2521
-4056,792 2,682
-2228,-1361,2395
-4374,-1067,3800
-2666,2164,2288
-2865,278 3,87
-3801,1706,3508
-2478,-2004,2834
-4213,81 32,16
-2416,-519,2437
-3899,1935,3351
-3478,1143,3027
-2084,-1631,2207
-4356,20 42,6
-2995,-537,2966
-3496,484 2,806
-3005,1468,2093
-2988,-741,2910
-4431,-276,3642
-2073,249 1,979
-3374,1002,2517
-3154,66 38,17
-3316,618 2,514
-3341,-630,2548
-2601,-527,2520
-4072,2198,3618
-2888,-389,2780
-2820,-320,3309
-3693,-356,3036
-2592,-633,3056
-4296,3061,2655
-1713,35 20,34
-4027,-112,3247
-3461,-1474,2080
-2525,-510,2686
-4083,1899,3105
-2579,-1041,3113
-4060,1968,2897
-3087,-2901,3051
-2998,2272,3311
-3977,376 3,188
-1833,1093,2238
-4073,-2296,3234
-2686,-52 2,837
-3757,568 3,10
-2806,2602,1873
-2539,1395,2250
-4542,517 3,655
-2018,111 2,331
-3749,-815,2824
-2738,2443,2396
-3023,-319,3393
-4570,735 3,163
-2516,-797,2530
-3946,1096,3147
-3096,1266,3305
-3196,1606,2735
-3610,-684,2850
-2034,-1294,2516
-4326,981 3,47
-2805,1201,2570
-3287,1119,2315
-3861,-2650,3263
-2831,1862,2631
-4147,-1749,3416
-2752,2885,3688
-3806,-302,3048
-3107,669 2,961
-3119,-2895,2464
-3650,2992,2083
-2270,505 2,58
-4117,990 3,706
-2685,-380,3424
-3414,-1516,3307
-3912,-1115,3389
-3119,1403,2714
-3611,865 3,721
-2930,1578,2429
-3785,-2177,4191
-3302,1022,2620
-2575,-4357,3103
-3578,3681,2416
-3116,-1730,3291
-3292,3581,2646
-3265,-2566,2948
-2595,960 3,300
-4515,-976,3823
-2541,-546,2943
-3023,2492,2593
-3177,-908,3187
